"tconst","primaryTitle","startYear","runtimeMinutes","averageRating","numVotes"
tt1690953,Despicable Me 2,2013,98,7.3,432998
tt0052357,Vertigo,1958,128,8.3,432829
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,6.9,432449
tt1055369,Transformers: Revenge of the Fallen,2009,149,6.0,432318
tt0455944,The Equalizer,2014,132,7.2,429311
tt0110475,The Mask,1994,101,6.9,428777
tt0099674,The Godfather Part III,1990,162,7.6,428659
tt0265086,Black Hawk Down,2001,144,7.7,428507
tt0232500,The Fast and the Furious,2001,106,6.8,425081
tt1517451,A Star Is Born,2018,136,7.6,424855
tt0079470,Monty Python's Life of Brian,1979,94,8.0,423927
tt0337978,Live Free or Die Hard,2007,128,7.1,423211
tt1282140,Easy A,2010,92,7.0,422806
tt0181852,Terminator 3: Rise of the Machines,2003,109,6.3,421826
tt1905041,Fast & Furious 6,2013,130,7.0,420578
tt0840361,The Town,2010,125,7.5,420371
tt0361862,The Machinist,2004,101,7.6,419836
tt2820852,Furious 7,2015,137,7.1,418553
tt0349903,Ocean's Twelve,2004,125,6.5,418124
tt6334354,The Suicide Squad,2021,132,7.2,417898
tt0109686,Dumb and Dumber,1994,107,7.3,417749
tt2381249,Mission: Impossible - Rogue Nation,2015,131,7.4,415506
tt0405094,The Lives of Others,2006,137,8.4,414577
tt8367814,The Gentlemen,2019,113,7.8,413184
tt0493464,Wanted,2008,110,6.7,411955
tt0112864,Die Hard with a Vengeance,1995,128,7.6,411768
tt10648342,Thor: Love and Thunder,2022,118,6.2,411751
tt2294449,"22 Jump Street",2014,112,7.0,411622
tt1596343,Fast Five,2011,130,7.3,411207
tt0120912,Men in Black II,2002,88,6.2,408990
tt0096895,Batman,1989,126,7.5,408899
tt0118971,The Devil's Advocate,1997,144,7.5,407866
tt0104431,Home Alone 2: Lost in New York,1992,120,6.9,407857
tt2582846,The Fault in Our Stars,2014,126,7.7,405826
tt0119094,Face/Off,1997,138,7.3,405550
tt1542344,"127 Hours",2010,94,7.5,405311
tt1587310,Maleficent,2014,97,6.9,404003
tt0454848,Inside Man,2006,129,7.6,402785
tt1190080,"2012",2009,158,5.8,402067
tt1632708,Friends with Benefits,2011,109,6.5,399116
tt0230600,The Others,2001,104,7.6,398105
tt0111257,Speed,1994,116,7.3,397378
tt9362722,Spider-Man: Across the Spider-Verse,2023,140,8.6,396774
tt6791350,Guardians of the Galaxy Vol. 3,2023,150,7.9,396506
tt1453405,Monsters University,2013,104,7.2,396205
tt0147800,"10 Things I Hate About You",1999,97,7.3,395605
tt0117571,Scream,1996,111,7.4,395005
tt0328107,Man on Fire,2004,146,7.7,394859
tt2194499,About Time,2013,123,7.8,394751
tt0317919,Mission: Impossible III,2006,126,6.9,394632
tt1706620,Snowpiercer,2013,126,7.1,393873
tt9032400,Eternals,2021,156,6.3,393246
tt2737304,Bird Box,2018,124,6.6,393200
tt0091042,Ferris Bueller's Day Off,1986,103,7.8,392205
tt0317740,The Italian Job,2003,111,7.0,392172
tt0443543,The Illusionist,2006,110,7.5,392080
tt0964517,The Fighter,2010,116,7.8,392016
tt1409024,Men in Black³,2012,106,6.8,391879
tt0286106,Signs,2002,106,6.8,391546
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,2007,116,7.3,389902
tt0448115,Shazam!,2019,132,7.0,389883
tt0388795,Brokeback Mountain,2005,134,7.7,389139
tt0166924,Mulholland Drive,2001,147,7.9,388834
tt0096283,My Neighbor Totoro,1988,86,8.1,388578
tt0162661,Sleepy Hollow,1999,105,7.3,387766
tt0343660,"50 First Dates",2004,99,6.8,387549
tt0478311,Knocked Up,2007,129,6.9,387540
tt0338751,The Aviator,2004,170,7.5,387214
tt1068680,Yes Man,2008,104,6.8,386689
tt0099423,Die Hard 2,1990,124,7.1,386554
tt3778644,Solo: A Star Wars Story,2018,135,6.9,385049
tt0081398,Raging Bull,1980,129,8.1,384503
tt4912910,Mission: Impossible - Fallout,2018,147,7.7,383291
tt0113497,Jumanji,1995,104,7.1,383092
tt0477347,Night at the Museum,2006,108,6.5,382575
tt0357413,Anchorman: The Legend of Ron Burgundy,2004,94,7.1,382574
tt0087843,Once Upon a Time in America,1984,229,8.3,382417
tt0120755,Mission: Impossible II,2000,123,6.1,381823
tt0120663,Eyes Wide Shut,1999,159,7.5,381398
tt3799694,The Nice Guys,2016,116,7.4,380522
tt0438488,Terminator Salvation,2009,115,6.5,380246
tt1951266,The Hunger Games: Mockingjay - Part 2,2015,137,6.6,380169
tt0360486,Constantine,2005,121,7.0,379743
tt0298130,The Ring,2002,115,7.1,379669
tt0119396,Jackie Brown,1997,154,7.5,379592
tt1182345,Moon,2009,97,7.8,379509
tt1907668,Flight,2012,138,7.3,379476
tt0107688,The Nightmare Before Christmas,1993,76,7.9,379461
tt0396269,Wedding Crashers,2005,119,7.0,379209
tt0363163,Downfall,2004,156,8.2,378783
tt1371111,Cloud Atlas,2012,172,7.4,376543
tt0395169,Hotel Rwanda,2004,121,8.1,375003
tt0047478,Seven Samurai,1954,207,8.6,371203
tt2106476,The Hunt,2012,115,8.3,370774
tt0100405,Pretty Woman,1990,119,7.1,370648
tt0496806,Ocean's Thirteen,2007,122,6.9,370642
tt4649466,Kingsman: The Golden Circle,2017,141,6.7,370609
tt0790724,Jack Reacher,2012,130,7.0,370567
tt1650062,Super 8,2011,112,7.0,369820
tt1065073,Boyhood,2014,165,7.9,369800
tt1646971,How to Train Your Dragon 2,2014,102,7.8,369079
tt2798920,Annihilation,2018,115,6.8,367697
tt1320253,The Expendables,2010,103,6.4,367516
tt0077416,The Deer Hunter,1978,183,8.1,366118
